loss,val_loss,lr
0.8457650542259216,0.7528930902481079,0.001
0.8243545889854431,0.7318254709243774,0.001
0.8023640513420105,0.7111409306526184,0.001
0.7810970544815063,0.6903955340385437,0.001
0.7600072026252747,0.6698282957077026,0.001
0.739072859287262,0.6495416164398193,0.001
0.7186680436134338,0.6297104954719543,0.001
0.6986082792282104,0.610235869884491,0.001
0.6793314218521118,0.5916838049888611,0.001
0.660869300365448,0.5738282799720764,0.001
0.6431597471237183,0.5566861629486084,0.001
0.6259966492652893,0.5404702425003052,0.001
0.6098567247390747,0.5250992178916931,0.001
0.5945824980735779,0.5104491710662842,0.001
0.5799902677536011,0.49659040570259094,0.001
0.5665974020957947,0.4835800230503082,0.001
0.5540369153022766,0.47132015228271484,0.001
0.5419707894325256,0.46021768450737,0.001
0.5309340953826904,0.450145423412323,0.001
0.5210225582122803,0.44087690114974976,0.001
0.5117794275283813,0.4323435127735138,0.001
0.5033571124076843,0.42416223883628845,0.001
0.49542489647865295,0.4169315993785858,0.001
0.48811689019203186,0.410468190908432,0.001
0.48190170526504517,0.40448978543281555,0.001
0.4758339524269104,0.39903146028518677,0.001
0.47044146060943604,0.39418408274650574,0.001
0.46577373147010803,0.38967955112457275,0.001
0.4612997770309448,0.38578709959983826,0.001
0.4572446644306183,0.3824620842933655,0.001
0.453958123922348,0.37942230701446533,0.001
0.45086073875427246,0.37678828835487366,0.001
0.4480990171432495,0.3744492530822754,0.001
0.4457119405269623,0.3724212348461151,0.001
0.44351914525032043,0.37054678797721863,0.001
0.44164472818374634,0.36889153718948364,0.001
0.4399203658103943,0.3675091564655304,0.001
0.4383962154388428,0.36622461676597595,0.001
0.4370754361152649,0.36506980657577515,0.001
0.4358638823032379,0.3641189634799957,0.001
0.4348171055316925,0.36341774463653564,0.001
0.43384701013565063,0.36267533898353577,0.001
0.43302300572395325,0.3619959354400635,0.001
0.43227875232696533,0.36130744218826294,0.001
0.43154779076576233,0.36077287793159485,0.001
0.4309246838092804,0.36028164625167847,0.001
0.4303690493106842,0.35988256335258484,0.001
0.4298439919948578,0.35949453711509705,0.001
0.4293728470802307,0.35916218161582947,0.001
0.4289427399635315,0.3588882386684418,0.001
0.42852726578712463,0.3585794270038605,0.001
0.42818373441696167,0.3583555221557617,0.001
0.4278316795825958,0.358096182346344,0.001
0.427519828081131,0.357837975025177,0.001
0.42720088362693787,0.3576812446117401,0.001
0.4268869459629059,0.35751035809516907,0.001
0.42662081122398376,0.3573117256164551,0.001
0.4263544976711273,0.35706400871276855,0.001
0.4261128604412079,0.35687702894210815,0.001
0.42588186264038086,0.3566358983516693,0.001
0.4256173074245453,0.3564819395542145,0.001
0.42538028955459595,0.3562827706336975,0.001
0.4251335561275482,0.35608723759651184,0.001
0.42497068643569946,0.3559541404247284,0.001
0.42473670840263367,0.3557674288749695,0.001
0.42453238368034363,0.35562801361083984,0.001
0.42430469393730164,0.3554190695285797,0.001
0.4240620732307434,0.3551878333091736,0.001
0.42388656735420227,0.3549276292324066,0.001
0.4236980080604553,0.35480791330337524,0.001
0.42345088720321655,0.35466909408569336,0.001
0.4232523441314697,0.35456448793411255,0.001
0.4230786859989166,0.3544357120990753,0.001
0.4228600859642029,0.3541891276836395,0.001
0.42267853021621704,0.353997141122818,0.001
0.422442764043808,0.3538399040699005,0.001
0.42226865887641907,0.3537296950817108,0.001
0.4220503270626068,0.35357606410980225,0.001
0.4218696653842926,0.35345029830932617,0.001
0.4216713309288025,0.35329487919807434,0.001
0.4214566946029663,0.3530617654323578,0.001
0.42130643129348755,0.3528740108013153,0.001
0.4210713803768158,0.35278254747390747,0.001
0.42087695002555847,0.3526802361011505,0.001
0.4207005500793457,0.3525474965572357,0.001
0.42049700021743774,0.3523276448249817,0.001
0.42034009099006653,0.3521203100681305,0.001
0.42010802030563354,0.35196453332901,0.001
0.42000865936279297,0.3517535626888275,0.001
0.4197419285774231,0.3515961170196533,0.001
0.4195571839809418,0.3514764904975891,0.001
0.4193303883075714,0.35131582617759705,0.001
0.41913461685180664,0.3511894643306732,0.001
0.418943852186203,0.3510712683200836,0.001
0.4187648594379425,0.3508358597755432,0.001
0.41856902837753296,0.3506515920162201,0.001
0.4183463752269745,0.3504175543785095,0.001
0.4181325435638428,0.35019922256469727,0.001
0.4179556369781494,0.35005614161491394,0.001
0.41775327920913696,0.34983882308006287,0.001
0.4175347089767456,0.34969213604927063,0.001
0.41734635829925537,0.34944766759872437,0.001
0.4171335995197296,0.34931448101997375,0.001
0.41691073775291443,0.3491983413696289,0.001
0.416741281747818,0.34903857111930847,0.001
0.4165025055408478,0.3488091230392456,0.001
0.41631436347961426,0.3486599922180176,0.001
0.41608574986457825,0.34837254881858826,0.001
0.4158770442008972,0.3481598198413849,0.001
0.4156458377838135,0.3479878306388855,0.001
0.41544654965400696,0.34792643785476685,0.001
0.4152311682701111,0.34775304794311523,0.001
0.4150661826133728,0.34754374623298645,0.001
0.4147967994213104,0.34722843766212463,0.001
0.41458043456077576,0.3469797670841217,0.001
0.4144168496131897,0.3466934263706207,0.001
0.4141331911087036,0.3465573191642761,0.001
0.4138612151145935,0.3464561998844147,0.001
0.41373875737190247,0.34627991914749146,0.001
0.4134748876094818,0.34590229392051697,0.001
0.413183331489563,0.34565412998199463,0.001
0.4129383862018585,0.3454444110393524,0.001
